%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1385303007077307062,126,1385303007077307062,,12,0.0
1385303007224149546,127,1385303007224149546,,12,0.0
1385303007278379335,128,1385303007278379335,,12,0.0
1385303007384347981,129,1385303007384347981,,12,0.0
1385303007487662540,130,1385303007487662540,,12,0.0
1385303007592906331,131,1385303007592906331,,12,0.0
1385303007861253358,132,1385303007861253358,,12,0.0
1385303007873012376,133,1385303007873012376,,12,0.0
1385303007920504786,134,1385303007920504786,,12,0.0
1385303007991326023,135,1385303007991326023,,12,0.0
1385303008100165893,136,1385303008100165893,,13,0.0
1385303008243066059,137,1385303008243066059,,13,0.0
1385303008359680906,138,1385303008359680906,,14,0.0
1385303008403933522,139,1385303008403933522,,14,0.0
1385303008486723599,140,1385303008486723599,,14,0.0
1385303008587521132,141,1385303008587521132,,14,0.0
1385303008686830004,142,1385303008686830004,,14,0.0
1385303008790163464,143,1385303008790163464,,14,0.0
1385303008898873310,144,1385303008898873310,,14,0.0
1385303009099733164,145,1385303009099733164,,14,0.0
1385303009165954512,146,1385303009165954512,,14,0.0
1385303009303852837,147,1385303009303852837,,14,0.0
1385303009398895606,148,1385303009398895606,,14,0.0
1385303009462427949,149,1385303009462427949,,15,0.0
1385303009496183521,150,1385303009496183521,,15,0.0
1385303009597408155,151,1385303009597408155,,15,0.0
1385303009694683045,152,1385303009694683045,,15,0.0
1385303009792360840,153,1385303009792360840,,15,0.0
1385303009893810781,154,1385303009893810781,,15,0.0
1385303009997330763,155,1385303009997330763,,15,0.0
1385303010101346654,156,1385303010101346654,,15,0.0
1385303010201949555,157,1385303010201949555,,15,0.0
1385303010306411967,158,1385303010306411967,,15,0.0
1385303010404140383,159,1385303010404140383,,15,0.0
1385303010507859511,160,1385303010507859511,,15,0.0
1385303010602700976,161,1385303010602700976,,16,0.0
1385303010725195481,162,1385303010725195481,,16,0.0
1385303010804093972,163,1385303010804093972,,16,0.0
1385303010910108490,164,1385303010910108490,,16,0.0
1385303011010183004,165,1385303011010183004,,16,0.0
1385303011112510890,166,1385303011112510890,,16,0.0
1385303011203923780,167,1385303011203923780,,16,0.0
1385303011308752543,168,1385303011308752543,,16,0.0
1385303011419954126,169,1385303011419954126,,16,0.0
1385303011510514668,170,1385303011510514668,,16,0.0
1385303011614504104,171,1385303011614504104,,16,0.0
1385303011713769358,172,1385303011713769358,,17,0.0
1385303011804937169,173,1385303011804937169,,17,0.0
1385303011903247634,174,1385303011903247634,,17,0.0
1385303012106426153,175,1385303012106426153,,18,0.0
1385303012134146537,176,1385303012134146537,,18,0.0
1385303012210896118,177,1385303012210896118,,19,0.0
1385303012335937010,178,1385303012335937010,,20,0.0
1385303012414704449,179,1385303012414704449,,21,0.0
1385303012530678573,180,1385303012530678573,,21,0.0
1385303012632076053,181,1385303012632076053,,22,0.0
1385303012721178400,182,1385303012721178400,,22,0.0
1385303012845124551,183,1385303012845124551,,23,0.0
1385303012922391585,184,1385303012922391585,,23,0.0
1385303013025217286,185,1385303013025217286,,24,0.0
1385303013123153122,186,1385303013123153122,,24,0.0
1385303013234470770,187,1385303013234470770,,25,0.0
1385303013334581209,188,1385303013334581209,,25,0.0
1385303013421322694,189,1385303013421322694,,25,0.0
1385303013526953861,190,1385303013526953861,,25,0.0
1385303013658973205,191,1385303013658973205,,26,0.0
1385303013727585136,192,1385303013727585136,,26,0.0
1385303013831536726,193,1385303013831536726,,26,0.0
1385303013937373422,194,1385303013937373422,,26,0.0
1385303014047310561,195,1385303014047310561,,26,0.0
1385303014141912280,196,1385303014141912280,,27,0.0
1385303014248324451,197,1385303014248324451,,27,0.0
1385303014343707915,198,1385303014343707915,,27,0.0
1385303014446264481,199,1385303014446264481,,27,0.0
1385303014540782935,200,1385303014540782935,,27,0.0
1385303014644209111,201,1385303014644209111,,28,0.0
1385303014736640027,202,1385303014736640027,,28,0.0
1385303014829359152,203,1385303014829359152,,28,0.0
1385303014930434679,204,1385303014930434679,,28,0.0
1385303015029074161,205,1385303015029074161,,28,0.0
1385303015139038388,206,1385303015139038388,,28,0.0
1385303015238284178,207,1385303015238284178,,28,0.0
1385303015334413393,208,1385303015334413393,,29,0.0
1385303015432936849,209,1385303015432936849,,29,0.0
1385303015537613513,210,1385303015537613513,,29,0.0
1385303015638624733,211,1385303015638624733,,29,0.0
1385303015782395481,212,1385303015782395481,,30,0.0
1385303015855632344,213,1385303015855632344,,30,0.0
1385303015946454745,214,1385303015946454745,,30,0.0
1385303016050280958,215,1385303016050280958,,30,0.0
1385303016150810515,216,1385303016150810515,,31,0.0
1385303016300787211,217,1385303016300787211,,31,0.0
1385303016343685546,218,1385303016343685546,,31,0.0
1385303016441815840,219,1385303016441815840,,31,0.0
1385303016546247564,220,1385303016546247564,,0,0.0
1385303016658498135,221,1385303016658498135,,0,0.0
1385303016795102777,222,1385303016795102777,,32,0.0
1385303016997266092,223,1385303016997266092,,32,0.0
1385303017075679321,224,1385303017075679321,,32,0.0
1385303017125425721,225,1385303017125425721,,32,0.0
1385303017183859833,226,1385303017183859833,,33,0.0
1385303017251841922,227,1385303017251841922,,33,0.0
1385303017358776264,228,1385303017358776264,,33,0.0
1385303017460560269,229,1385303017460560269,,33,0.0
1385303017555213217,230,1385303017555213217,,33,0.0
1385303017660894839,231,1385303017660894839,,33,0.0
1385303017758187640,232,1385303017758187640,,33,0.0
1385303017855009677,233,1385303017855009677,,33,0.0
1385303017958453860,234,1385303017958453860,,33,0.0
1385303018066864105,235,1385303018066864105,,33,0.0
1385303018162542465,236,1385303018162542465,,33,0.0
1385303018279052353,237,1385303018279052353,,33,0.0
1385303018383538028,238,1385303018383538028,,33,0.0
1385303018487850358,239,1385303018487850358,,34,0.0
1385303018575764096,240,1385303018575764096,,34,0.0
1385303018662604800,241,1385303018662604800,,34,0.0
1385303018766040189,242,1385303018766040189,,34,0.0
1385303018874313649,243,1385303018874313649,,34,0.0
1385303018970672673,244,1385303018970672673,,34,0.0
1385303019076707129,245,1385303019076707129,,34,0.0
1385303019162230209,246,1385303019162230209,,34,0.0
1385303019267503028,247,1385303019267503028,,34,0.0
1385303019371441854,248,1385303019371441854,,34,0.0
1385303019476124619,249,1385303019476124619,,34,0.0
1385303019574126881,250,1385303019574126881,,34,0.0
1385303019667588650,251,1385303019667588650,,34,0.0
1385303019773725885,252,1385303019773725885,,34,0.0
1385303019869430331,253,1385303019869430331,,34,0.0
1385303019976189629,254,1385303019976189629,,34,0.0
1385303020084284240,255,1385303020084284240,,34,0.0
1385303020183843920,256,1385303020183843920,,34,0.0
1385303020288043595,257,1385303020288043595,,34,0.0
1385303020386230769,258,1385303020386230769,,34,0.0
1385303020488695001,259,1385303020488695001,,34,0.0
1385303020589659476,260,1385303020589659476,,34,0.0
1385303020689705765,261,1385303020689705765,,34,0.0
1385303020807114736,262,1385303020807114736,,34,0.0
1385303020890304884,263,1385303020890304884,,34,0.0
1385303020992589493,264,1385303020992589493,,34,0.0
1385303021095909492,265,1385303021095909492,,34,0.0
1385303021214539389,266,1385303021214539389,,34,0.0
1385303021316600903,267,1385303021316600903,,34,0.0
1385303021404880872,268,1385303021404880872,,34,0.0
1385303021508377758,269,1385303021508377758,,34,0.0
1385303021582107855,270,1385303021582107855,,34,0.0
1385303021692851285,271,1385303021692851285,,34,0.0
1385303021815608113,272,1385303021815608113,,34,0.0
1385303021885320512,273,1385303021885320512,,34,0.0
1385303021982450153,274,1385303021982450153,,34,0.0
1385303022088662516,275,1385303022088662516,,34,0.0
1385303022194242059,276,1385303022194242059,,34,0.0
1385303022293090875,277,1385303022293090875,,34,0.0
1385303022390702932,278,1385303022390702932,,34,0.0
1385303022494659084,279,1385303022494659084,,34,0.0
1385303022623874799,280,1385303022623874799,,35,0.0
1385303022691195862,281,1385303022691195862,,35,0.0
1385303022800341282,282,1385303022800341282,,35,0.0
1385303022897029930,283,1385303022897029930,,35,0.0
1385303022995154351,284,1385303022995154351,,35,0.0
1385303023100214796,285,1385303023100214796,,35,0.0
1385303023207904709,286,1385303023207904709,,35,0.0
1385303023296479048,287,1385303023296479048,,35,0.0
1385303023394732196,288,1385303023394732196,,35,0.0
1385303023491311471,289,1385303023491311471,,35,0.0
1385303023594723579,290,1385303023594723579,,35,0.0
1385303023711745091,291,1385303023711745091,,35,0.0
1385303023827919579,292,1385303023827919579,,35,0.0
1385303023912663859,293,1385303023912663859,,35,0.0
1385303023999215244,294,1385303023999215244,,35,0.0
1385303024099703999,295,1385303024099703999,,35,0.0
1385303024199058949,296,1385303024199058949,,35,0.0
1385303024302073703,297,1385303024302073703,,35,0.0
1385303024406912251,298,1385303024406912251,,36,0.0
1385303024512311119,299,1385303024512311119,,36,0.0
1385303024610863738,300,1385303024610863738,,36,0.0
1385303024700207425,301,1385303024700207425,,36,0.0
1385303024801444834,302,1385303024801444834,,36,0.0
1385303024919431280,303,1385303024919431280,,36,0.0
1385303025002640606,304,1385303025002640606,,37,0.0
1385303025116161583,305,1385303025116161583,,36,0.0
1385303025234273449,306,1385303025234273449,,36,0.0
1385303025319762245,307,1385303025319762245,,36,0.0
1385303025404062214,308,1385303025404062214,,36,0.0
1385303025513364543,309,1385303025513364543,,36,0.0
1385303025620258618,310,1385303025620258618,,36,0.0
1385303025714504773,311,1385303025714504773,,38,0.0
1385303025827469726,312,1385303025827469726,,38,0.0
1385303025931757747,313,1385303025931757747,,38,0.0
1385303026005974438,314,1385303026005974438,,38,0.0
1385303026113406456,315,1385303026113406456,,38,0.0
1385303026227476794,316,1385303026227476794,,38,0.0
1385303026348089440,317,1385303026348089440,,39,0.0
1385303026429407340,318,1385303026429407340,,39,0.0
1385303026537867726,319,1385303026537867726,,39,0.0
1385303026631774398,320,1385303026631774398,,40,0.0
1385303026733232772,321,1385303026733232772,,40,0.0
1385303026830388861,322,1385303026830388861,,41,0.0
1385303026945292426,323,1385303026945292426,,41,0.0
1385303027079959301,324,1385303027079959301,,42,0.0
1385303027150983857,325,1385303027150983857,,42,0.0
1385303027237740892,326,1385303027237740892,,43,0.0
1385303027347252633,327,1385303027347252633,,43,0.0
1385303027487279818,328,1385303027487279818,,44,0.0
1385303027533468417,329,1385303027533468417,,44,0.0
1385303027622498606,330,1385303027622498606,,45,0.0
1385303027725785553,331,1385303027725785553,,45,0.0
1385303027829161839,332,1385303027829161839,,46,0.0
1385303027938382650,333,1385303027938382650,,46,0.0
1385303028102460333,334,1385303028102460333,,47,0.0
1385303028166400749,335,1385303028166400749,,47,0.0
1385303028236050888,336,1385303028236050888,,48,0.0
1385303028341999668,337,1385303028341999668,,48,0.0
1385303028443714302,338,1385303028443714302,,49,0.0
1385303028543492362,339,1385303028543492362,,49,0.0
1385303028639538448,340,1385303028639538448,,49,0.0
1385303028740526945,341,1385303028740526945,,50,0.0
1385303028833034594,342,1385303028833034594,,50,0.0
1385303028944598659,343,1385303028944598659,,50,0.0
1385303029086745660,344,1385303029086745660,,50,0.0
1385303029142654183,345,1385303029142654183,,51,0.0
1385303029251579987,346,1385303029251579987,,51,0.0
1385303029341475373,347,1385303029341475373,,52,0.0
1385303029451347995,348,1385303029451347995,,52,0.0
1385303029544608105,349,1385303029544608105,,52,0.0
1385303029661305872,350,1385303029661305872,,52,0.0
1385303029745006027,351,1385303029745006027,,52,0.0
1385303029842046869,352,1385303029842046869,,52,0.0
1385303029950638070,353,1385303029950638070,,52,0.0
1385303030054207667,354,1385303030054207667,,52,0.0
1385303030173749488,355,1385303030173749488,,52,0.0
1385303030259057782,356,1385303030259057782,,52,0.0
1385303030352203672,357,1385303030352203672,,52,0.0
1385303030452068994,358,1385303030452068994,,53,0.0
1385303030553220967,359,1385303030553220967,,53,0.0
1385303030651592194,360,1385303030651592194,,53,0.0
1385303030752181425,361,1385303030752181425,,54,0.0
1385303030858202982,362,1385303030858202982,,54,0.0
1385303030958721412,363,1385303030958721412,,54,0.0
1385303031060463226,364,1385303031060463226,,54,0.0
1385303031168941038,365,1385303031168941038,,55,0.0
1385303031281417489,366,1385303031281417489,,55,0.0
