%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1385302994352117403,0,1385302994352117403,1,0.0,0.0,0.0,0.0,0.0,0.707106781187,0.707106781187
1385302997883499460,1,1385302997883499460,1,0.00893579365499,0.0483716003352,0.0,0.0,0.0,0.59723092599,0.802069336804
1385302998028920931,2,1385302998028920931,1,0.0146738432513,0.0649872656989,0.0,0.0,0.0,0.576302771607,0.817236266595
1385302998306082021,3,1385302998306082021,1,0.0349057164289,0.111264679332,0.0,0.0,0.0,0.540201499018,0.841535703615
1385302998968721150,4,1385302998968721150,1,0.092159390398,0.226899136561,0.0,0.0,0.0,0.509235197315,0.86062739546
1385302999269795894,5,1385302999269795894,1,0.124649973824,0.280573565737,0.0,0.0,0.0,0.480468767953,0.877011837447
1385302999644142635,6,1385302999644142635,1,0.168674041948,0.342076258571,0.0,0.0,0.0,0.441646785364,0.897189008503
1385303000229062357,7,1385303000229062357,1,0.248214503151,0.434768162933,0.0,0.0,0.0,0.405742942193,0.913987234517
1385303001046716361,8,1385303001046716361,1,0.304234599204,0.492626621241,0.0,0.0,0.0,0.372203433192,0.928151175359
1385303001471780249,9,1385303001471780249,1,0.381407073338,0.558473524811,0.0,0.0,0.0,0.333740200147,0.94266509366
1385303001896483130,10,1385303001896483130,1,0.304234599204,0.492626621241,0.0,0.0,0.0,0.372203433192,0.928151175359
1385303002486412708,11,1385303002486412708,1,0.381407073338,0.558473524811,0.0,0.0,0.0,0.333740200147,0.94266509366
1385303002576938506,12,1385303002576938506,1,0.404892676408,0.574963635981,0.0,0.0,0.0,0.291478598237,0.956577350124
1385303003133051296,13,1385303003133051296,1,0.381407073338,0.558473524811,0.0,0.0,0.0,0.333740200147,0.94266509366
1385303003209522668,14,1385303003209522668,1,0.398399354934,0.572495150756,0.0,0.0,0.0,0.33815191141,0.941091539017
1385303003522902561,15,1385303003522902561,1,0.381407073338,0.558473524811,0.0,0.0,0.0,0.333740200147,0.94266509366
1385303003644830053,16,1385303003644830053,1,0.404892676408,0.574963635981,0.0,0.0,0.0,0.291478598237,0.956577350124
1385303004118210584,17,1385303004118210584,1,0.528755027467,0.639329474465,0.0,0.0,0.0,0.211405775483,0.977398382489
1385303004591404151,18,1385303004591404151,1,0.650309867976,0.702053364008,0.0,0.0,0.0,0.26004720217,0.965595905461
1385303005669519576,19,1385303005669519576,1,0.934167716933,0.866101163741,0.0,0.0,0.0,0.239735107939,0.970838337738
1385303006346451784,20,1385303006346451784,1,0.650309867976,0.702053364008,0.0,0.0,0.0,0.26004720217,0.965595905461
1385303008149678615,21,1385303008149678615,1,0.934167716933,0.866101163741,0.0,0.0,0.0,0.239735107939,0.970838337738
1385303008397458352,22,1385303008397458352,1,0.991599734525,0.897431380314,0.0,0.0,0.0,0.251132726754,0.967952660802
1385303009483149391,23,1385303009483149391,1,1.27002780014,1.03625612132,0.0,0.0,0.0,0.20635549272,0.978477087429
1385303010615174100,24,1385303010615174100,1,1.56335351635,1.17014253894,0.0,0.0,0.0,0.213607952495,0.976919465786
1385303011748121438,25,1385303011748121438,1,1.81581880222,1.27402277156,0.0,0.0,0.0,0.15664454236,0.987655044714
1385303012141991580,26,1385303012141991580,1,1.88698376414,1.29198009311,0.0,0.0,0.0,0.102296646569,0.994753937464
1385303012273191856,27,1385303012273191856,1,1.94783170474,1.3000540578,0.0,0.0,0.0,0.0452879348309,0.998973975116
1385303012351069025,28,1385303012351069025,1,1.9720647889,1.30102825919,0.0,0.0,0.0,0.0200884785291,0.999798206155
1385303012505642198,29,1385303012505642198,1,1.99654028901,1.30108812933,0.0,0.0,0.0,-0.0051187998302,0.999986898858
1385303012672167771,30,1385303012672167771,1,2.05061231168,1.29642382533,0.0,0.0,0.0,-0.059871941306,0.998206066223
1385303012883719793,31,1385303012883719793,1,2.11414953948,1.2841294894,0.0,0.0,0.0,-0.11234207883,0.993669591627
1385303013113002245,32,1385303013113002245,1,2.16599133021,1.26880316492,0.0,0.0,0.0,-0.15355653268,0.988139864225
1385303013317248766,33,1385303013317248766,1,2.22415231315,1.24711017172,0.0,0.0,0.0,-0.187409293471,0.982281913058
1385303013710051157,34,1385303013710051157,1,2.29511418847,1.21612784355,0.0,0.0,0.0,-0.215400061771,0.976525889769
1385303014191220076,35,1385303014191220076,1,2.45583074724,1.12642613022,0.0,0.0,0.0,-0.291450525456,0.956585903728
1385303014673172013,36,1385303014673172013,1,2.5610028077,1.03789406165,0.0,0.0,0.0,-0.384089427417,0.923295896095
1385303015337244028,37,1385303015337244028,1,2.67267934711,0.884025436504,0.0,0.0,0.0,-0.503747584397,0.863850896402
1385303015385541101,38,1385303015385541101,1,2.67855011641,0.8732865366,0.0,0.0,0.0,-0.510057665364,0.86014020834
1385303015860553947,39,1385303015860553947,1,2.72445211768,0.768850152718,0.0,0.0,0.0,-0.566923198073,0.823770652237
1385303016211555642,40,1385303016211555642,1,2.7586989186,0.652357705411,0.0,0.0,0.0,-0.618878986923,0.785486345868
1385303016665584791,41,1385303016665584791,1,2.77598760382,0.557389457089,0.0,0.0,0.0,-0.656890907093,0.753985633934
1385303017014990604,42,1385303017014990604,1,2.78228598708,0.485579462255,0.0,0.0,0.0,-0.683935294582,0.729542673752
1385303017230700912,43,1385303017230700912,1,2.7833599964,0.438868543793,0.0,0.0,0.0,-0.70764365087,0.706569503575
